AB,AVG,BB,G,H,HR,OBP,OPS,PLAYER,R,RBI,SB,SLG,SO,TEAM
6,.167,0,2,1,0,.375,.542,Victor Caratini,1,0,0,.167,3,HOU
6,.167,1,2,1,0,.375,.542,Jordan Westburg,0,0,0,.167,1,BAL
7,.286,0,2,2,0,.250,.536,Marcell Ozuna,0,1,0,.286,4,ATL
21,.190,3,6,4,0,.292,.530,Yuli Gurriel,4,0,0,.238,1,KC
18,.111,6,7,2,0,.333,.500,Colt Keith,3,1,0,.167,8,DET
28,.179,0,7,5,1,.179,.500,Manny Machado,4,4,0,.321,9,SD
15,.200,2,4,3,0,.294,.494,Trea Turner,2,0,2,.200,5,PHI
25,.200,3,7,5,0,.286,.486,Jurickson Profar,1,1,0,.200,4,SD
36,.222,2,9,8,0,.263,.485,Jose Iglesias,3,3,0,.222,8,NYM
22,.136,2,7,3,0,.240,.467,Jake Cronenworth,2,0,0,.227,9,SD
23,.087,5,7,2,1,.250,.467,Will Smith,4,2,1,.217,5,LAD
21,.190,0,6,4,0,.227,.465,Andrés Giménez,3,0,1,.238,9,CLE
6,.167,1,2,1,0,.286,.453,Jeremy Pe,1,0,0,.167,3,HOU
31,.226,0,7,7,0,.226,.452,Luis Arraez,4,0,0,.226,1,SD
20,.150,0,6,3,1,.150,.450,MJ Melendez,1,2,0,.300,3,KC
28,.143,2,9,4,0,.226,.440,Tyrone Taylor,4,1,0,.214,8,NYM
11,.182,1,3,2,0,.250,.432,Willy Adames,1,0,1,.182,3,MIL
28,.143,4,7,4,0,.242,.421,Matt Vierling,1,2,0,.179,14,DET
26,.192,1,6,5,0,.222,.414,Bobby Witt,1,2,0,.192,6,KC
19,.105,1,5,2,1,.150,.413,Jazz Chisholm,2,1,1,.263,5,NYY
23,.130,3,6,3,0,.231,.405,Vinnie Pasquantino,0,2,0,.174,9,KC
24,.167,0,6,4,0,.167,.375,Josh Naylor,1,1,0,.208,6,CLE
32,.156,1,9,5,0,.182,.338,Francisco Alvarez,1,1,0,.156,10,NYM
6,.167,0,2,1,0,.167,.334,Orlando Arcia,1,0,0,.167,2,ATL
12,.167,0,3,2,0,.167,.334,William Contreras,0,2,0,.167,3,MIL
11,.000,3,4,0,0,.313,.313,J.T. Realmuto,1,1,0,.000,4,PHI
7,.143,0,2,1,0,.143,.286,Colton Cowser,0,0,0,.143,3,BAL
22,.091,3,7,2,0,.192,.283,Trey Sweeney,2,2,1,.091,12,DET
